label,Near earth,Magnitude,Eccentricity,Semi-major axis (AU),Perihelion distance (AU),Rotation period (s)
(AK94),N,13.2,0.0554,3.0698,2.8996,
(AK95),N,11.7,0.0277,5.2383,5.0931,
(AK96),N,13.9,0.2036,3.0918,2.4624,
(AK97),N,12.4,0.0791,3.1604,2.9104,26206.2
(AL),N,13.3,0.2301,3.0963,2.384,
(AL),N,13.6,0.172,2.7872,2.3078,
(AL1),N,11.6,0.0977,3.1573,2.8489,
(AL113),N,12.2,0.0578,5.2837,4.9785,
(AL124),N,13.7,0.1878,3.1748,2.5786,
(AL134),N,13.8,0.1211,3.132,2.7526,
(AL137),N,13.1,0.1222,3.1267,2.7447,
(AL141),N,13,0.1207,2.6748,2.352,
(AL165),N,13.7,0.19,3.1773,2.5736,
(AL193),N,13,0.0912,3.128,2.8428,
(AL198),N,13.8,0.0453,3.1267,2.9851,
(AL2),N,13.2,0.104,3.0151,2.7014,24555.6
(AL2),N,13.3,0.1158,2.9298,2.5906,
(AL2),N,13.1,0.1327,2.6428,2.292,
(AL203),N,12.8,0.0875,3.1706,2.8931,
(AL233),N,12.4,0.0418,5.1857,4.969,
(AL237),N,13.7,0.0986,2.5678,2.3146,
(AL5),N,12.6,0.1447,3.1955,2.733,
(AL74),N,13,0.0382,5.3075,5.1045,
(AL76),N,13.6,0.2466,3.1685,2.3871,
(AL99),N,13.5,0.175,3.125,2.5781,38091.6
(AM),N,13.1,0.2031,3.1254,2.4906,37886.4
(AM10),N,13.8,0.0913,2.453,2.229,
(AM101),N,13.5,0.1553,2.7758,2.3446,
(AM107),N,12.8,0.1005,5.1782,4.6577,
(AM113),N,13.4,0.1851,3.0868,2.5155,
(AM128),N,13.3,0.0352,3.1192,3.0094,
(AM165),N,12.4,0.1348,3.207,2.7748,77997.6
(AM166),N,13.4,0.1217,2.9687,2.6074,
(AM185),N,13.4,0.1336,3.1076,2.6925,
(AM186),N,13,0.1175,2.673,2.359,19519.2
(AM203),N,12.2,0.0599,3.2314,3.0379,
(AM217),N,12.3,0.086,5.2313,4.7817,
(AM29),N,13.6,0.0778,2.599,2.3968,
(AM41),N,13.8,0.1119,3.0873,2.7419,
(AM64),N,13.4,0.0363,3.2018,3.0856,
(AM68),N,13.1,0.1688,2.7701,2.3026,
(AM7),N,13.5,0.0362,3.0617,2.9508,
(AM89),N,13.9,0.1909,3.0982,2.5066,
(AN),N,13.6,0.1652,3.1179,2.6028,
(AN),N,13.1,0.0877,2.7697,2.5267,11739.6
(AN1),N,13,0.0956,2.7436,2.4813,
(AN106),N,12.3,0.2749,3.9772,2.8837,
(AN107),N,13,0.0481,3.0484,2.9019,
(AN122),N,13,0.1137,3.1063,2.7531,
(AN144),N,13.5,0.1476,2.6341,2.2452,
(AN146),N,10,0.0504,5.2608,4.9956,31284
(AN164),N,13.4,0.0875,2.6072,2.3791,
(AN17),N,13.1,0.1623,2.625,2.1989,
(AN2),N,12.9,0.1758,2.5606,2.1104,
(AN200),N,13.9,0.175,2.5708,2.1209,25920
(AN22),N,12.5,0.0817,3.0251,2.778,113472
(AN22),N,12.3,0.2086,2.8535,2.2584,126565.2
(AN233),N,13,0.1259,2.9276,2.5592,
(AN34),N,12.2,0.0892,5.1278,4.6706,
(AN34),N,13.5,0.0872,2.5935,2.3672,35604
(AN37),N,11.6,0.105,5.1884,4.6437,
(AN5),N,13.8,0.1173,3.0692,2.7091,
(AN50),N,13.2,0.0296,2.8762,2.7911,20786.4
(AN6),N,11.7,0.03,5.2397,5.0827,
(AN60),N,13.8,0.1422,3.0135,2.5849,
(AN9),N,13.3,0.0774,3.0489,2.8129,
(AO1),N,11.7,0.0686,3.937,3.6668,19728
(AO1),N,13.8,0.3151,2.7032,1.8514,
(AO1),N,13,0.1079,2.4488,2.1846,14079.6
(AO100),N,12,0.0981,3.0737,2.7723,
(AO125),N,13.9,0.0927,5.1579,4.6799,
(AO125),N,13.9,0.0484,3.0592,2.9111,
(AO142),N,13.2,0.0368,2.9962,2.886,19386
(AO148),N,13.9,0.1426,2.85,2.4436,
(AO151),N,13.3,0.1718,2.7693,2.2934,103104
(AO17),N,12.8,0.1853,2.6693,2.1748,
(AO17),N,13.1,0.15,2.6578,2.2591,
(AO195),N,13.7,0.051,2.993,2.8405,
(AO2),N,13,0.1571,3.0587,2.5782,
(AO2),N,13.4,0.0662,2.9819,2.7846,11451.6
(AO203),N,13.2,0.1302,2.4517,2.1324,
(AO23),N,13.3,0.1415,2.5822,2.2168,306342
(AO237),N,13.2,0.118,2.5968,2.2903,
(AO245),N,13.4,0.1192,2.8984,2.553,
(AO30),N,13.7,0.1367,3.1905,2.7544,
